CNPJ,Time
10810396000196,Time 1
19153705000177,Time 1
28879529000146,Time 1
29613776000169,Time 1
25970315000192,Time 1
23520837000167,Time 1
30144052000100,Time 1
31368600000130,Time 1
13416131000104,Time 1
57339373000109,Time 1
48965359000120,Time 1
9057948000158,Time 1
41907181000111,Time 1
41755934000110,Time 1
54462447000101,Time 1
51137439000100,Time 1
39863075000131,Time 1
32316940000180,Time 1
19425573000195,Time 1
47167977000161,Time 1
47846883000119,Time 1
21397569000102,Time 1
47846982000109,Time 1
18387112000102,Time 1
9239216000189,Time 1
12428086000137,Time 1
13098860000151,Time 1
31024416000173,Time 1
24546098000145,Time 1
21053720000195,Time 1
55596335000106,Time 1
59260452000155,Time 1
54902792000119,Time 1
9520712000106,Time 1
10772734000142,Time 1
20093858000155,Time 1
58113703000106,Time 1
47847076000110,Time 1
12712606000139,Time 1
46285178000127,Time 1
46799305000106,Time 1
25695170000169,Time 1
22406927000169,Time 1
22003571000112,Time 1
24504464000101,Time 1
49507576000139,Time 1
14718674000130,Time 1
42067232000107,Time 1
27217664000163,Time 1
55993250000161,Time 1
23274015000143,Time 1
61290894000196,Time 1
64883935000146,Time 1
12400421000199,Time 1
18563847000140,Time 1
29970181000160,Time 1
57025352000119,Time 1
26690451000191,Time 1
35581308000152,Time 1
32999032000139,Time 1
32202903000141,Time 1
29953928000172,Time 1
47168002000158,Time 1
47847106000199,Time 1
59070167000171,Time 1
45777614000112,Time 1
22175405000101,Time 1
10841847000152,Time 1
47859927000145,Time 1
13842701000110,Time 1
60647052000186,Time 1
33289359000180,Time 1
33632618000123,Time 1
28879551000196,Time 1
26984508000165,Time 1
41649912000176,Time 1
42605322000104,Time 1
31881619000186,Time 1
61896279000128,Time 1
52178495000147,Time 1
50901127000150,Time 1
10774307000101,Time 1
20636504000100,Time 1
32511268000184,Time 1
26648789000185,Time 1
51919474000172,Time 1
19425700000156,Time 1
13348521000186,Time 1
42449234000160,Time 1
31894591000111,Time 1
41195626000188,Time 1
54244336000129,Time 1
23104455000152,Time 1
35871456000101,Time 1
42556229000157,Time 1
58321970000179,Time 1
34027549000191,Time 1
49793609000154,Time 1
49007595000104,Time 1
50059717000187,Time 1
50469304000170,Time 1
41341126000107,Time 1
60430405000191,Time 1
41992676000196,Time 1
42700626000150,Time 1
18151682000107,Time 1
59891249000187,Time 1
24506130000169,Time 1
40155056000130,Time 1
47167815000123,Time 1
45523682000155,Time 1
26506898000168,Time 1
50730281000106,Time 1
29236389000150,Time 1
36359698000183,Time 1
21605486000161,Time 1
33003417000167,Time 1
22753713000169,Time 1
24506265000124,Time 1
10545253000102,Time 1
64642939000132,Time 1
50284896000156,Time 1
40733257000177,Time 1
58157509000122,Time 1
28079865000104,Time 1
18593058000151,Time 1
26208328000191,Time 1
54349601000133,Time 1
54968636000150,Time 1
53390769000120,Time 1
30144093000199,Time 1
44076221000119,Time 1
21796827000123,Time 1
42922136000107,Time 1
30366120000178,Time 1
22443309000199,Time 1
37036039000179,Time 1
41320997000144,Time 1
58900579000129,Time 1
45494806000111,Time 1
55175561000113,Time 1
57823707000115,Time 1
55261422000102,Time 1
8093745000154,Time 1
8611414000169,Time 1
13776087000135,Time 1
45188066000195,Time 1
53327560000111,Time 2
40800541000119,Time 2
41340960000188,Time 2
53577135000180,Time 2
51646633000102,Time 2
50640401000184,Time 2
33499726000170,Time 2
62456242000141,Time 2
40902151000150,Time 2
40753151000135,Time 2
60290928000180,Time 2
64633435000156,Time 2
59202651000107,Time 2
4108584000174,Time 2
42336323000109,Time 2
46390255000109,Time 2
55144736000125,Time 2
25382606000160,Time 2
22358482000199,Time 2
47466676000139,Time 2
47463397000111,Time 2
47463403000130,Time 2
29242926000175,Time 2
35138000000137,Time 2
23750225000160,Time 2
15675220000192,Time 2
37284201000178,Time 2
51144449000164,Time 2
37054545000190,Time 2
61267770000190,Time 2
53575842000138,Time 2
14744913000127,Time 2
40211693000186,Time 2
61995584000177,Time 2
20460014000103,Time 2
60058603000176,Time 2
34218918000123,Time 2
14770038000158,Time 2
26558785000106,Time 2
57127130000107,Time 2
54979338000166,Time 2
7084253000130,Time 2
29109292000187,Time 2
50434429000165,Time 2
